X,Y,Status,Timestamp
0.8,-0.0,Unhealthy,16.246
1.05,-0.0,Unhealthy,19.253
1.05,-0.0,Unhealthy,22.576
1.05,-0.0,Unhealthy,25.694
1.05,-0.0,Unhealthy,28.8
1.05,-0.0,Unhealthy,31.987
1.05,-0.0,Unhealthy,35.435
1.05,-0.0,Unhealthy,38.503
1.05,-0.0,Unhealthy,41.628
1.05,-0.0,Unhealthy,45.035
1.05,-0.0,Unhealthy,48.269
1.05,-0.0,Unhealthy,51.64
1.05,-0.0,Unhealthy,55.039
1.05,-0.0,Unhealthy,58.225
1.05,-0.0,Unhealthy,61.753
1.05,-0.0,Unhealthy,65.024
1.05,-0.0,Unhealthy,68.139
1.05,-0.0,Unhealthy,71.197
1.05,-0.0,Unhealthy,74.305
1.05,-0.0,Unhealthy,77.597
1.05,-0.0,Unhealthy,80.813
1.05,-0.0,Unhealthy,83.921
0.34,-1.93,Unhealthy,103.374
0.49,-2.26,Unhealthy,106.496
0.49,-2.26,Unhealthy,109.749
0.49,-2.26,Unhealthy,113.127
0.49,-2.26,Unhealthy,116.498
0.49,-2.26,Unhealthy,119.715
0.49,-2.26,Unhealthy,123.119
0.49,-2.26,Unhealthy,126.16
0.49,-2.26,Unhealthy,129.651
0.49,-2.26,Unhealthy,133.101
0.49,-2.26,Unhealthy,136.366
0.49,-2.26,Unhealthy,139.636
0.49,-2.26,Unhealthy,142.727
0.49,-2.26,Unhealthy,146.044
0.49,-2.26,Unhealthy,149.16
0.49,-2.26,Unhealthy,152.374
0.49,-2.26,Unhealthy,155.435
0.49,-2.26,Unhealthy,158.832
0.49,-2.26,Unhealthy,161.99
0.49,-2.26,Unhealthy,165.233
0.49,-2.26,Unhealthy,168.363
0.49,-2.26,Unhealthy,171.397
0.49,-2.26,Unhealthy,174.838
0.23,-0.0,Unhealthy,8.508
1.88,0.05,Unhealthy,21.125
1.43,0.8,Unhealthy,27.333
1.72,0.32,Unhealthy,30.559
1.72,0.32,Unhealthy,34.041
1.72,0.32,Unhealthy,37.425
1.72,0.32,Unhealthy,40.719
1.72,0.32,Unhealthy,43.939
1.72,0.32,Unhealthy,47.022
1.72,0.32,Unhealthy,50.139
1.72,0.32,Unhealthy,53.246
1.72,0.32,Unhealthy,56.41
1.72,0.32,Unhealthy,59.627
1.72,0.32,Unhealthy,63.129
1.72,0.32,Unhealthy,66.268
1.72,0.32,Unhealthy,69.533
1.72,0.32,Unhealthy,72.936
1.72,0.32,Unhealthy,76.05
1.72,0.32,Unhealthy,79.174
1.72,0.32,Unhealthy,82.567
1.72,0.32,Unhealthy,85.91
1.72,0.32,Unhealthy,89.182
1.72,0.32,Unhealthy,92.292
1.72,0.32,Unhealthy,95.514
1.72,0.32,Unhealthy,98.585
1.72,0.32,Unhealthy,101.965
1.72,0.32,Unhealthy,105.248
1.72,0.32,Unhealthy,108.486
1.72,0.32,Unhealthy,111.849
1.72,0.32,Unhealthy,115.241
1.72,0.32,Unhealthy,118.485
1.72,0.32,Unhealthy,121.58
1.72,0.32,Unhealthy,124.651
